"filename", "language", "Markdown", "JavaScript", "JSON", "Log", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\Game-dev-notes.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 16, 67
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\Glossary.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\debug.log", "Log", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\package-lock.json", "JSON", 0, 0, 16959, 0, 0, 0, 0, 0, 1, 16960
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\package.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\poster.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 13, 36
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\public\index.html", "HTML", 0, 0, 0, 0, 27, 0, 0, 24, 1, 52
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\App.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 2, 3, 77
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\Components\About.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\Components\Game.js", "JavaScript", 0, 272, 0, 0, 0, 0, 0, 8, 26, 306
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\Components\Home.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\Components\Nav.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\Components\Tutorial.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\icons\brain-2.svg", "XML", 0, 0, 0, 0, 0, 0, 42, 0, 2, 44
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\img\home-button.svg", "XML", 0, 0, 0, 0, 0, 0, 41, 1, 1, 43
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 10, 4, 25
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\_about.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\_game.scss", "SCSS", 0, 0, 0, 0, 0, 108, 0, 2, 11, 121
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\_home.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 48, 0, 4, 1, 53
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\_tutorial.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\styles\app.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\tomfa\Desktop\Other Stuff\EduMemory\EduMemory\src\useWindowSize.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 4, 8, 41
"Total", "-", 121, 501, 17036, 1, 27, 243, 83, 56, 149, 18217
